post_id,date,text,views,forwards,channel_id,channel_name
21462,2025-03-13 21:41:55+00:00,"**🌊**** **[**36 ОБрМП**](https://t.me/ua_marines_36brigade/2737)** знищує кацапів та корейських морквопітеків західніше Басівки на Сумщині**

📍 Локація — [Басівка](https://deepstatemap.live/#dl!coords!51.18967120903478,35.04414935410205).

[Мапа](https://deepstatemap.live/)🛑[Блог](https://deepstateua.com/)🛑[Написати нам](http://t.me/newsDeepStatebot)🛑 [ЗСУHelp](https://t.me/help_deepstateua)🛑[Магазин](https://deepstateua.shop/)🛑[Донат](https://www.buymeacoffee.com/deepstateua/membership)",311822,370,-1001469021333,DeepStateUA
21461,2025-03-13 18:46:49+00:00,"**🤝 Повністю згодні з думкою наших друзів з РН — питання має бути не в територіях, а в людських життях. Поки є люди — до того часу Україна здатна чинити спротив**",302309,280,-1001469021333,DeepStateUA
21460,2025-03-13 17:03:33+00:00,"⚖️ **ЄСПЛ **[**визнав**](https://hudoc.echr.coe.int/eng#{%22itemid%22:[%22001-242505%22]})** Україну винною у трагедії в Одесі 2 травня 2014 року, але відзначив вплив московії**

💳 Європейський суд з прав людини ухвалив рішення щодо бездіяльності держави під час зіткнень промосковитських та проукраїнських активістів в Одесі 2 травня 2014 року, коли загинуло 47 людей.

💬 Суд визнав, що події значною мірою були спричинені московитською пропагандою, однак також підкреслив порушення з боку України, яка має виплатити компенсації постраждалим.

📌 **Основні висновки ЄСПЛ:**
🛑Суд визнав, що московитська пропаганда відіграла значну роль у розпалюванні конфлікту та насильства в Одесі.
🛑Одеські посадовці, відповідальні за порушення, втекли до московії, отримали громадянство та побудували кар'єру на тлі повномасштабного вторгнення рф в Україну.
🛑Україна не переслідувала належним чином посадовців, чиї дії призвели до трагедії.
🛑Поліція не втручалася для запобігання нападам і не реагувала на використання вогнепальної зброї.
🛑Пожежні машини навмисно затримали на 40 хвилин, а поліція не допомагала евакуювати людей з Будинку профспілок.
🛑Докази були свідомо знищені місцевою владою під приводом ""прибирання"".

**Рішення ЄСПЛ щодо відповідальності України:**

__Суд визнав Україну винною у порушенні статті Європейської конвенції з прав людини про право на життя.__

🐓 Яким би не було рішення ЄСПЛ, 2 травня 2014 року назавжди буде «днем смаженого проросійського пєтуха», або як кажуть в народі «день шашлику»

[Мапа](https://deepstatemap.live/)🛑[Блог](https://deepstateua.com/)🛑[Написати нам](http://t.me/newsDeepStatebot)🛑 [ЗСУHelp](https://t.me/help_deepstateua)🛑[Магазин](https://deepstateua.shop/)🛑[Донат](https://www.buymeacoffee.com/deepstateua/membership)",335154,896,-1001469021333,DeepStateUA
21459,2025-03-13 13:48:11+00:00,"**🔄**** Мапу оновлено
**
⚔️ Ворог просунувся в [Білогорівці](https://deepstatemap.live/#14/48.9229757/38.2525440), біля [Григорівки](https://deepstatemap.live/#14/48.6486989/37.8766896) та [Дніпроенергії](https://deepstatemap.live/#14/47.9198282/36.8014163).

💬 У випадку неточностей, можете повідомити нам про це через бот @newsdeepstatebot.

🗺 deepstatemap.live

[Мапа](https://deepstatemap.live/)🛑[Блог](https://deepstateua.com/)🛑[Написати нам](http://t.me/newsDeepStatebot)🛑 [ЗСУHelp](https://t.me/help_deepstateua)🛑[Магазин](https://deepstateua.shop/)🛑[Донат](https://www.buymeacoffee.com/deepstateua/membership)",296881,154,-1001469021333,DeepStateUA
21458,2025-03-13 12:20:54+00:00,"**🟡****Кадри ураження кацапні в Басівці від бійців Сил Оборони**

🇷🇺 Ворог продовжує пробувати пробиратися в Басівку між Журавкою і Новеньким. В основному вони застосовують для цього піхоту, але якщо на початку вони по посадках лізли пішим ходом, то зараз вони пробують залітати на квадроциклах. 

⚔️ На відео можна чітко побачити характер боїв в даному районі, де московити в швидкому темпі групами піхоти намагаються залетіти в село і закріпитися. Роблять вони це хаотично та неорганізовано і не можуть навіть зорієнтуватися на місцевості, тож блукають селом або полями. В той же час Сили Оборони здійснюють одразу по таких групах ураження і живуть вони недовго. 

🔴Важкість ситуації полягає в тому, що противник накопичив доволі велику кількість піхоти і постійно пускає її в утилізацію, потроху просуваючись в глибину. Українські військові в свою чергу намагаються максимально робити ці спроби безуспішними, щоб стримати просування ворога.

📍 Локація — [**Басівка**](https://deepstatemap.live/#18/51.1863423/35.0827253)[.](https://deepstatemap.live/#18/51.1863423/35.0827253)

[Мапа](https://deepstatemap.live/)🛑[Блог](https://deepstateua.com/)🛑[Написати нам](http://t.me/newsDeepStatebot)🛑 [ЗСУHelp](https://t.me/help_deepstateua)🛑[Магазин](https://deepstateua.shop/)🛑[Донат](https://www.buymeacoffee.com/deepstateua/membership)",371653,557,-1001469021333,DeepStateUA
21457,2025-03-13 11:24:58+00:00,"⭐ **Бійці **[**66 ОМБр **](https://t.me/ombr66/1598)**показали кадри ліквідації пі**ра своїми ж піхотинцями на південних околицях Новолюбівки**

🖋 кацап вирішив вийти до своїх на зустріч, але у відповідь отримав кулю і заснув війчним сном, а ті спокійно пройшли повз, доповівши, що поклали випадково свого. 

🇷🇺 Ворог активно лізе по всьому відтинку від Греківки до Новолюбівки невеликими групами піхоти, намагаючись просочитися через оборонні порядки українських військових. На цій ділянці зараз доволі напружено, сподіваємося СОУ витримають цей тиск.

📍 Локація — [**Новолюбівка**](https://deepstatemap.live/#16/49.1528644/37.9498458).

[Мапа](https://deepstatemap.live/)🛑[Блог](https://deepstateua.com/)🛑[Написати нам](http://t.me/newsDeepStatebot)🛑 [ЗСУHelp](https://t.me/help_deepstateua)🛑[Магазин](https://deepstateua.shop/)🛑[Донат](https://www.buymeacoffee.com/deepstateua/membership)",276624,174,-1001469021333,DeepStateUA
21456,2025-03-13 10:13:48+00:00,"🇬🇧 🇫🇷 **Велика Британія та Франція **[**розробляють**](https://www.bloomberg.com/news/articles/2025-03-12/uk-and-france-race-to-draft-ukraine-troops-plan-trump-will-buy)** план розміщення військ в Україні, щоб забезпечити мир**

👥 Країни працюють над створенням ""коаліції охочих"" для гарантування безпеки України після можливого припинення вогню. План включає військову присутність у вигляді ""сил стримування"" з військами, авіацією та флотом від різних країн. Західні союзники сподіваються переконати президента США Дональда Трампа підтримати ініціативу без розгортання американських військ.

💬** Переговори та позиція Європи:**
🛑 Міністри оборони Великої Британії, Франції, Німеччини, Італії та Польщі зустрілися в Парижі, щоб узгодити військову підтримку України.
🛑 Французький міністр оборони Себастьян Лекорню наголосив, що головною гарантією безпеки України є її власна армія, її оснащення та навчання.
🛑 Німеччина готова замінити американську підтримку в таких сферах, як супутниковий зв'язок та постачання боєприпасів.

🔫  **Формування ""коаліції охочих"":**
🛑 У Парижі відбулася окрема зустріч військових керівників європейських країн та партнерів з Австралії, Японії та Нової Зеландії.
🛑Країнам запропонували варіанти участі: розміщення військ в Україні чи сусідніх країнах, надання військових кораблів, авіації, бронетехніки, розвідданих.

ℹ️ Очікується, що найближчими днями військові розроблять детальний план, який представлять на розгляд Трампу. Європейські лідери сподіваються, що він погодиться надати гарантії безпеки, зокрема у сфері повітряного контролю та розвідки.

[Мапа](https://deepstatemap.live/)🛑[Блог](https://deepstateua.com/)🛑[Написати нам](http://t.me/newsDeepStatebot)🛑 [ЗСУHelp](https://t.me/help_deepstateua)🛑[Магазин](https://deepstateua.shop/)🛑[Донат](https://www.buymeacoffee.com/deepstateua/membership)",335382,353,-1001469021333,DeepStateUA
21455,2025-03-12 18:46:54+00:00,**🫡 Василь Васильович**,335789,443,-1001469021333,DeepStateUA
21454,2025-03-12 13:29:03+00:00,"⚔️** Бої тривають на околицях Суджі**

📋 Ворог здійснює активний тиск зі сходу та півночі, реалізовуючи весь зібраний ресурс протягом довгого часу. Мережею, зокрема, в телеграм-каналах після оновлення ширяться повідомлення про повний вихід з міста Суджа, що не відповідає дійсності, адже людям, які поширюють такі заяви варто уважніше дивитися на мапу і бачити сіру зону на північних та західних околицях міста, де тривають бої, незважаючи на публікації від московитів в центрі Суджі. 

🔴 Ситуація залишається важкою. Сили Оборони роблять все можливе, щоб зупинити просування ворога.

[Мапа](https://deepstatemap.live/)🛑[Блог](https://deepstateua.com/)🛑[Написати нам](http://t.me/newsDeepStatebot)🛑 [ЗСУHelp](https://t.me/help_deepstateua)🛑[Магазин](https://deepstateua.shop/)🛑[Донат](https://www.buymeacoffee.com/deepstateua/membership)",440209,1016,-1001469021333,DeepStateUA
21453,2025-03-12 12:11:16+00:00,"**🔄**** Мапу оновлено
**
⚔️ Ворог окупував [Махновку](https://deepstatemap.live/#14/51.1736232/35.2960215), [Замостя](https://deepstatemap.live/#14/51.1867471/35.2940478), [Козачу Локню](https://deepstatemap.live/#14/51.2362607/35.2507105), та просунувся біля [Ясенового](https://deepstatemap.live/#13/48.0964842/37.0725878) та [Скудного](https://deepstatemap.live/#13/47.9090946/36.7740900).

💬 У випадку неточностей, можете повідомити нам про це через бот @newsdeepstatebot.

🗺 deepstatemap.live

[Мапа](https://deepstatemap.live/)🛑[Блог](https://deepstateua.com/)🛑[Написати нам](http://t.me/newsDeepStatebot)🛑 [ЗСУHelp](https://t.me/help_deepstateua)🛑[Магазин](https://deepstateua.shop/)🛑[Донат](https://www.buymeacoffee.com/deepstateua/membership)",348570,276,-1001469021333,DeepStateUA
