post_id,date,text,views,forwards,channel_id,channel_name
166347,2025-03-13 20:27:58+00:00,"На перехресті Великої Житомирської та Володимирської серйозна аварія. Є потерпілі. 

При чому на цьому перехресті аварії трапляються через день і 
машини влітають в цей дом не перший раз.

[Підписатися](https://t.me/+MwIBj990g00zYTYy) | [Запропонувати новину](https://t.me/kyivoperative1) | [Реклама](https://t.me/kyivoperative1) | [Автострахування](https://kyivoperativ.viapp.me/)",70052.0,42.0,-1001061098805,kyivoperat
166345,2025-03-13 19:42:49+00:00,"Зараз ми всі почули з Росії дуже передбачувані, дуже маніпулятивні слова Путіна у відповідь на ідею тиші на фронті – він фактично готує відмову станом на зараз. Путін, звісно, боїться сказати прямо Президенту Трампу, що хоче продовжувати цю війну, хоче вбивати українців. І тому вони там, у Москві, обставляють ідею тиші такими передумовами, щоб взагалі нічого не вийшло або щоб не виходило якнайдовше. Путін часто так робить – не каже «ні» напряму, але робить так, що практично тільки все затягує та унеможливлює нормальні рішення. Ми вважаємо, що це все зараз – чергові російські маніпуляції. 

Була американська пропозиція щодо безумовної тиші в небі, на морі та на фронті. Ми в Україні сприйняли цю пропозицію. Від американської сторони ми чули, що є готовність організувати контроль і верифікацію. І це реально забезпечити – з американськими можливостями, з європейськими можливостями. І щоб за час тиші підготувати відповіді на всі питання про довгострокову безпеку та реальний, надійний мир і покласти на стіл план завершення війни. Україна готова працювати максимально швидко, максимально конструктивно. Ми говорили про це американським представникам, про це знають і наші європейські партнери, усі наші партнери у світі. 

Ми не ставимо умов, які щось ускладнюють. Це Росія робить. Як ми завжди й говорили, єдиний, хто буде все затягувати, єдиний, хто буде неконструктивний, – це Росія. Їм треба війна. Путін украв роки миру й продовжує цю війну – день за днем. Зараз треба на нього тиснути. Треба вводити санкції, які допоможуть. Будемо працювати й надалі з нашими американськими партнерами, із європейськими партнерами, з усіма у світі, хто хоче миру, щоб примусити Росію до завершення війни.

Володимир Зеленський (с)

[Підписатися](https://t.me/+MwIBj990g00zYTYy) | [Запропонувати новину](https://t.me/kyivoperative1) | [Реклама](https://t.me/kyivoperative1) | [Автострахування](https://kyivoperativ.viapp.me/)",67290.0,14.0,-1001061098805,kyivoperat
166344,2025-03-13 18:47:06+00:00,"Тільки сьогодні 12-річний зачепер у Соломʼянському районі [буквально згорів живцем.](https://t.me/kyivoperat/166324) Гудів весь інтернет. Пройшло пару годин і от вам - ще одні дурікі…

Київ, Куренівський парк

[Підписатися](https://t.me/+MwIBj990g00zYTYy) | [Запропонувати новину](https://t.me/kyivoperative1) | [Реклама](https://t.me/kyivoperative1) | [Автострахування](https://kyivoperativ.viapp.me/)",64979.0,278.0,-1001061098805,kyivoperat
166343,2025-03-13 18:25:06+00:00,"Просто водій білого «пиріжка» виїжджає на головну дорогу з другорядної…

Київ, Мінська

[Підписатися](https://t.me/+MwIBj990g00zYTYy) | [Запропонувати новину](https://t.me/kyivoperative1) | [Реклама](https://t.me/kyivoperative1) | [Автострахування](https://kyivoperativ.viapp.me/)",61272.0,22.0,-1001061098805,kyivoperat
166340,2025-03-13 17:34:22+00:00,"Багато хто питав у коментарях що саме знімала ця пані на #Volkswagen  #AI0201PK, [яка переплутала дорогу з тротуаром.](https://t.me/kyivoperat/166280) 

Ну, самі напросилися - ловіть.

[Підписатися](https://t.me/+MwIBj990g00zYTYy) | [Запропонувати новину](https://t.me/kyivoperative1) | [Реклама](https://t.me/kyivoperative1) | [Автострахування](https://kyivoperativ.viapp.me/)",61219.0,237.0,-1001061098805,kyivoperat
166339,2025-03-13 17:34:22+00:00,,60217.0,237.0,-1001061098805,kyivoperat
166338,2025-03-13 17:17:10+00:00,"Мабуть, коли в автошколах вивчали правила проїзду перехрестя із круговим рухом багато водіїв одногрупників розглядали… Але навіть якщо так - є знаки й розмітка, яку водії, подібні #Skoda (#AA4148XA) тупо ігнорують. 

Київ, Оболонь

[Підписатися](https://t.me/+MwIBj990g00zYTYy) | [Запропонувати новину](https://t.me/kyivoperative1) | [Реклама](https://t.me/kyivoperative1) | [Автострахування](https://kyivoperativ.viapp.me/)",60468.0,69.0,-1001061098805,kyivoperat
166337,2025-03-13 17:00:41+00:00,"Дорожні знаки? Розмітка? Це все зайве, коли є мета. 

А потім усі дивуються - а чого ж так багато ДТП? 

#Citroen #KA6335MM

Київ, перехрестя Кайсарова та Лобановського

[Підписатися](https://t.me/+MwIBj990g00zYTYy) | [Запропонувати новину](https://t.me/kyivoperative1) | [Реклама](https://t.me/kyivoperative1) | [Автострахування](https://kyivoperativ.viapp.me/)",58948.0,24.0,-1001061098805,kyivoperat
166336,2025-03-13 16:39:51+00:00,"**Політ** **окупанта в небо на Торецькому напрямку.**

Криниця стала «стартовою площадкою» для росіянина, який вирішив заховатись від ударних дронів 1-го батальйону 12-ї бригади «Азов».

Скид влучив у БК окупанта. Той злетів на десяток метрів в небо і побачив околиці Торецька в останній раз.

Хочеш так само запускати окупантів у небо? **Тоді заповнюй анкету на нашому сайті **[**azov.org.ua**.](https://bit.ly/3DAPjkg) У коментарі вказуй, що хочеш бути оператором ударних дронів.

Ударний дрон, який знищив ворога, придбали за кошти, зібрані ГО [АЗОВ.ONE.](https://t.me/AzovOne)

[Фінансова підтримка](https://bit.ly/41y2pZ1) | [Telegram](https://t.me/azov_media) | [Instagram](https://bit.ly/48AucsN) | [YouTube](https://bit.ly/3tYgyQZ) | [Twitter](https://bit.ly/3S0zAOH) | [Facebook](https://bit.ly/3Hq59N3) | [TikTok](https://bit.ly/48LoUtP) | [WhatsApp](https://bit.ly/3UOPdfd)",53512.0,189.0,-1001061098805,kyivoperat
166335,2025-03-13 16:06:23+00:00,"Жадан і Собаки вже 24 травня у Палаці спорту в межах благодійного туру ""Нескорені""! 🔥

Цей вечір у Києві стане лише частиною запланованого нами шляху, який ми подолаємо разом у благодійному турі ""Нескорені"" на запрошення Андрія Мацоли. А завдяки нашому партнеру ""Першій приватній броварні"" 100% коштів з квитків буде передано на бронеавтомобілі для 13-ї бригади НГУ ""Хартія"". 

Для нас це буде особливий концерт. Концерт, на який ми давно чекали і задля якого ми багато працювали. Нам хочеться зібрати тисячі людей, з якими можна буде співати хором. Співати про нашу радість і нашу щедрість, тішитись вогневі і пристрасті, слухати серцебиття веселої і відірваної юрби! 
 
Ясна річ, нам хотілося б зіграти цей концерт у мирному Києві, у мирній країні, що не потерпає від війни, від обстрілів та повітряних тривог. Проте війна триває, вона зовсім поруч. І для нас це ще один привід зібратися разом і зробити добру справу. Зібрати кошти на військо, підтримати Сили оборони, влаштувати цю перекличку, за якою безпомилково упізнаєш своїх – обраних, нарваних, юних і запеклих. Кілька тисяч гарячих голів, кілька тисяч пекучих сердець, кілька тисяч дзвінких горлянок.

Приходьте, аби побачити, як нас багато – нас неможливо не помітити і нас неможливо не почути. Ми далі тримаємось разом. Ми далі співаємо разом. Ми залишаємось – це наша країна.

Квитки -
https://concert.ua/uk/event/zhadan-i-sobaki",61728.0,46.0,-1001061098805,kyivoperat
166334,2025-03-13 15:38:17+00:00,"На Харківському шосе водій вантажівки #Renault влетів у навчальний #Hyundai. Дистанція? У дощ? Не чув і не бачив.

[Підписатися](https://t.me/+MwIBj990g00zYTYy) | [Запропонувати новину](https://t.me/kyivoperative1) | [Реклама](https://t.me/kyivoperative1) | [Автострахування](https://kyivoperativ.viapp.me/)",61778.0,73.0,-1001061098805,kyivoperat
166333,2025-03-13 15:38:17+00:00,,62398.0,81.0,-1001061098805,kyivoperat
166332,2025-03-13 14:48:40+00:00,"Добре, що у пасажирів Києва є вибір - можна на громадському транспорті, але з багатьма іншими пасажирами, а можна із цим Жлобенком на #Subaru (#AI3272HP). 

Київ, Бастіонна

[Підписатися](https://t.me/+MwIBj990g00zYTYy) | [Запропонувати новину](https://t.me/kyivoperative1) | [Реклама](https://t.me/kyivoperative1) | [Автострахування](https://kyivoperativ.viapp.me/)",65328.0,23.0,-1001061098805,kyivoperat
166331,2025-03-13 14:15:45+00:00,"**Завдяки СБУ 15 років сидіти ще п’ятьом бойовикам, які воювали проти Сил оборони**

Аміраній Деісадзе, Родіон Шкурко, Ренат Сафаров, Олександр Анісін та Роман Воробйов — мешканці окупованої частини Донеччини. Зрадники добровільно приєдналися до окупантів та виконували завдання ворога на східному фронті. Усіх зловмисників українські захисники взяли у полон під час боїв на Новопавлівському і Торецькому напрямках. За матеріалами військової контррозвідки та слідчих СБУ суд призначив бойовикам 15 років позбавлення волі з конфіскацією майна.

[Підписатися](https://t.me/+MwIBj990g00zYTYy) | [Запропонувати новину](https://t.me/kyivoperative1) | [Реклама](https://t.me/kyivoperative1) | [Автострахування](https://kyivoperativ.viapp.me/)",63009.0,2.0,-1001061098805,kyivoperat
166330,2025-03-13 14:09:57+00:00,"Як пощастило, що ліворуч від відеореєстратора нікого не було… Довго б потім тому діду на #Geely щось доводив. 

Київ, Академ

[Підписатися](https://t.me/+MwIBj990g00zYTYy) | [Запропонувати новину](https://t.me/kyivoperative1) | [Реклама](https://t.me/kyivoperative1) | [Автострахування](https://kyivoperativ.viapp.me/)",60608.0,32.0,-1001061098805,kyivoperat
166329,2025-03-13 13:36:01+00:00,"В Махачкалє кацапські вояки переїхали Пріору на БТРі. Воділа мінус. Так вони ці низькі тази. 

Підтримуємо обидві сторони, якщо що. Тільки почніть хуяритись вже між собою.

[Підписатися](https://t.me/+MwIBj990g00zYTYy) | [Запропонувати новину](https://t.me/kyivoperative1) | [Реклама](https://t.me/kyivoperative1) | [Автострахування](https://kyivoperativ.viapp.me/)",62254.0,91.0,-1001061098805,kyivoperat
166328,2025-03-13 13:25:24+00:00,"Цікаво, а перед тим як перейменовувати проспект Правди на проспект Європейського Союзу допускали, що такі геть далекі від Європи жлоби тут будуть паркуватися?

#Volkswagen #AA8530YB

Київ, проспект ЄС, 45А

[Підписатися](https://t.me/+MwIBj990g00zYTYy) | [Запропонувати новину](https://t.me/kyivoperative1) | [Реклама](https://t.me/kyivoperative1) | [Автострахування](https://kyivoperativ.viapp.me/)",58816.0,69.0,-1001061098805,kyivoperat
166327,2025-03-13 13:11:20+00:00,,61401.0,42.0,-1001061098805,kyivoperat
166326,2025-03-13 13:11:20+00:00,,62677.0,32.0,-1001061098805,kyivoperat
166325,2025-03-13 13:11:20+00:00,"**СБУ затримала депутата, який під час окупації Херсона вивозив українську агропродукцію до рф**
 
Йдеться про Сергія Сорокунського — депутата Херсонської облради від «партії Сальдо». Після захоплення Херсона зрадник здавав окупантам власників місцевого агробізнесу, які не підтримували кремлівський режим. Потім до цих підприємців приходили озброєні рашисти, які викрадали у них агропродукцію та сільськогосподарську техніку. Відтак, Сорокунський вивіз до рф понад 100 тонн продукції, зокрема насіння соняшника. 

Під час обшуків в оселі та офісі затриманого СБУ вилучила комп’ютери, документи та чорнові записи, які підтверджують злочини. Йому світить до 12 років з конфіскацією майна.

[Підписатися](https://t.me/+MwIBj990g00zYTYy) | [Запропонувати новину](https://t.me/kyivoperative1) | [Реклама](https://t.me/kyivoperative1) | [Автострахування](https://kyivoperativ.viapp.me/)",61434.0,42.0,-1001061098805,kyivoperat
166324,2025-03-13 12:47:26+00:00,"Якесь їбануте малолітнє у Києві залізло на електричку «Київ-Козятин» і отримало такий удар струмом, що почало палати. Тушили вогнегасником. 
Як зрозуміло - шансів малувато, але госпіталізували.

[Підписатися](https://t.me/+MwIBj990g00zYTYy) | [Запропонувати новину](https://t.me/kyivoperative1) | [Реклама](https://t.me/kyivoperative1) | [Автострахування](https://kyivoperativ.viapp.me/)",63945.0,294.0,-1001061098805,kyivoperat
166323,2025-03-13 12:47:26+00:00,,64195.0,294.0,-1001061098805,kyivoperat
166322,2025-03-13 12:35:42+00:00,"ДТП за участі двох авто. На щастя, без постраждалих, але рух дуже ускладнений. Починається утворюватися затор. 

На фото автобус намагається обʼїхати.

Київ, вул. Коновальця

[Підписатися](https://t.me/+MwIBj990g00zYTYy) | [Запропонувати новину](https://t.me/kyivoperative1) | [Реклама](https://t.me/kyivoperative1) | [Автострахування](https://kyivoperativ.viapp.me/)",60148.0,0.0,-1001061098805,kyivoperat
166321,2025-03-13 12:17:14+00:00,"О, [ще один](https://t.me/kyivoperat/166193) 🐔 

**Припаркувався на пішохідному переході та побив інспектора, який хотів його оштрафувати – водію повідомлено про підозру
**
За процесуального керівництва Шевченківської окружної прокуратури міста Києва повідомлено про підозру 40-річному іноземцю в умисному нанесенні побоїв інспектору з паркування (ч. 2 ст. 350 КК України).

Досудовим розслідуванням встановлено, що під час складання інспектором **протоколу за паркування на пішохідному переході**, водій автомобіля Skoda Fabia напав на чоловіка, завдавши йому кілька ударів по обличчю та ображаючи словесно.

Після цього водій поїхав з місця конфлікту, однак згодом був затриманий в порядку ст. 208 КПК України.

**Пресслужба Київської міської прокуратури

**[Підписатися](https://t.me/+MwIBj990g00zYTYy) | [Запропонувати новину](https://t.me/kyivoperative1) | [Реклама](https://t.me/kyivoperative1) | [Автострахування](https://kyivoperativ.viapp.me/)",59605.0,84.0,-1001061098805,kyivoperat
166320,2025-03-13 12:17:14+00:00,,55569.0,86.0,-1001061098805,kyivoperat
166318,2025-03-13 12:04:28+00:00,"**СБУ попереджає українців про активізацію російської пропаганди**

Служба безпеки України фіксує активізацію російських спецслужб в інформаційному просторі нашої держави із залученням кишенькових пропагандистів, блогерів і так званих «експертів». Ці особи створюють і поширюють антиукраїнський контент, який надалі здебільшого через ботоферми ворог намагається «розганяти» у соціальних мережах і підконтрольних ЗМІ.

Зокрема, серед поширюваних тез: відпрацювання кремлівських наративів про війну в Україні; акценти, спрямовані на порушення територіальної цілісності та суверенітету нашої держави; інформкампанії проти військово-політичного керівництва України; тези про «втрату суб’єктності» під час переговорів на міжнародній арені; розповсюдження занепадницьких настроїв, закамуфльованих під нібито нейтральні експертні оцінки, котрі насправді працюють в інтересах москви тощо. 

Вкиди та обговорення цих наративів всередині нашої держави є частиною російської стратегії. А спроби ворога спрямовані на розхитування суспільно-політичної ситуації в Україні, зниження рівня міжнародної підтримки, створення ілюзії протестних настроїв і спотворення даних про ситуацію на фронті. 

Служба безпеки на постійній основі здійснює моніторинг інформаційного простору, нейтралізує випадки поширення проросійської пропаганди та регулярно притягує причетних осіб до відповідальності. 

Водночас СБУ закликає громадян бути пильними: дотримуватись інформаційної гігієни, не долучатися до поширення російських наративів і не реагувати на ворожі провокації та інформаційні вкиди.

[Підписатися](https://t.me/+MwIBj990g00zYTYy) | [Запропонувати новину](https://t.me/kyivoperative1) | [Реклама](https://t.me/kyivoperative1) | [Автострахування](https://kyivoperativ.viapp.me/)",58704.0,34.0,-1001061098805,kyivoperat
