post_id,date,text,views,forwards,channel_id,channel_name
53962,2025-03-13 21:52:57+00:00,"Головне станом на зараз: 

• Канада [виділила](https://t.me/Denys_Smyhal/9697) Україні $1,7 млрд, які забезпечені доходами від заморожених російських активів;

• Фінляндія [передасть](https://www.defmin.fi/ajankohtaista/tiedotteet_ja_uutiset/suomi_ja_ukraina_allekirjoittivat_uuden_puolustusyhteistyoasiakirjan_-_uusi_aseapupaketti_julkistettu.14893.news#b8122b62) Україні пакет допомоги на €200 мільйонів;

• Швеція [придбає](https://suspilne.media/969891-svecia-nadast-ukraini-majze-138-mln-findopomogi-kudi-spramuut-kosti/) для України САУ ""Archer"" та надасть майже $138 млн гуманітарної допомоги;

• США [відновлюють](https://www.reuters.com/world/us-long-range-bombs-headed-ukraine-atacms-supply-dwindles-2025-03-13/) постачання Україні далекобійних бомб GLSDB — Reuters;

• Зеленський [підписав](https://itd.rada.gov.ua/billInfo/Bills/Card/44521) законопроєкт, який дозволяє купити російські реактори у Болгарії для Хмельницької АЕС",52034.0,53.0,-1001134948258,novinach
53961,2025-03-13 21:33:51+00:00,"NBC News: спецпредставника США Келлога [відсторонили](https://nv.ua/ukr/world/geopolitics/kit-kellog-specpredstavnika-trampa-vidstoronili-vid-peregovoriv-cherez-blizkist-do-ukrajini-50497751.html?utm_source=telegram) від мирних переговорів на вимогу росії через ""занадто проукраїнську позицію""",55178.0,514.0,-1001134948258,novinach
53960,2025-03-13 19:42:14+00:00,"Зеленський заявив, що путін готує відмову від перемирʼя і боїться сказати Трампу, що хоче продовжувати війну",55562.0,179.0,-1001134948258,novinach
53959,2025-03-13 17:12:42+00:00,"Трамп заявив, що путін зробив ""дуже багатообіцяючу заяву"", але вона не була повною і він хотів би бачити припинення вогню.

Також, за його словами, в контексті припинення бойових дій обговорюється питання контролю над ЗАЕС",56554.0,146.0,-1001134948258,novinach
53958,2025-03-13 15:59:01+00:00,"путін вимагає гарантій, що під час 30-денного перемир'я Україна ""не проводитиме мобілізацію та підготовку, і не отримуватиме зброю""",58506.0,747.0,-1001134948258,novinach
53957,2025-03-13 15:49:12+00:00,"путін заявив, що підтримує пропозицію США про 30-денне перемир’я, але, за його словами, це має ""призвести до довгострокового миру""",56583.0,487.0,-1001134948258,novinach
53956,2025-03-13 15:30:09+00:00,"Європейський суд з прав людини [визнав](https://hromadske.ua/suspilstvo/241364-trahediia-2-travnia-v-odesi-yevropeyskyy-sud-z-prav-liudyny-vyznav-ukrayinu-vynnoiu) Україну винною у подіях 2 травня в Одесі та зобовʼязав виплатити компенсацію. 

У своїх висновках суд підкреслив, що значну роль у цих подіях відіграла рф та її антиукраїнська пропаганда, але водночас судді наголосили на недостатніх діях України для того, щоб запобігти трагедії.

Мінʼюст України відреагувало на рішення ЄСПЛ зазначивши, що приймає його до уваги та обіцяє згодом надати комплексний аналіз висновків Європейського суду",57934.0,342.0,-1001134948258,novinach
53955,2025-03-13 13:41:22+00:00,"Трамп [погрожує](https://www.reuters.com/markets/trump-threatens-200-wine-tariff-if-eu-does-not-remove-whiskey-tariff-2025-03-13/) Євросоюзу запровадженням 200% мит на всі європейські вина та інші алкогольні продукти, якщо ЄС не скасує свій 50% тариф на американське віскі",53959.0,399.0,-1001134948258,novinach
53954,2025-03-13 10:36:03+00:00,"UPD. Відбій

Злетів МіГ-31К — по всій країні повітряна тривога",53235.0,32.0,-1001134948258,novinach
53953,2025-03-13 10:23:22+00:00,Анджей Дуда [запропонував](https://hromadske.ua/heopolityka/241339-duda-proponuye-peremistyty-iaderni-boyeholovky-ssha-na-terytoriiu-polshchi) адміністрації Трампа перемістити ядерну зброю на територію Польщі для стримування росії — FT,56300.0,629.0,-1001134948258,novinach
53952,2025-03-13 08:06:12+00:00,,54074.0,190.0,-1001134948258,novinach
53951,2025-03-13 08:06:12+00:00,"Безпілотник атакував газову підстанцію в саратовській області рф.

""Йоб єбать… єбать… ніхуя, блять"", — заявив місцевий житель",55081.0,186.0,-1001134948258,novinach
53950,2025-03-13 07:27:09+00:00,"В соцмережах шириться чергове відео зі стратою беззбройних українських військовослужбовців, які потрапили в російський полон.

Український омбудсман [направив](https://t.me/dmytro_lubinetzs/8181) листи до ООН та МКЧХ для фіксації воєнного злочину",53166.0,47.0,-1001134948258,novinach
53949,2025-03-13 07:09:51+00:00,"У Дніпрі внаслідок атаки російських БпЛА [пошкоджено](https://t.me/dsns_telegram/39502) інфраструктурний об’єкт, гаражі та кілька багатоповерхівок.

Поранення отримали три жінки — 52, 56 та 82 років.

Загалом за ніч росіяни запустили по Україні 117 дронів, з яких 74 — збито, 38 — локаційно втрачено",56666.0,14.0,-1001134948258,novinach
53948,2025-03-12 21:58:30+00:00,,60133.0,990.0,-1001134948258,novinach
53947,2025-03-12 21:58:30+00:00,У небі над Києвом помітили невідоме щось. Летіло та світилося 💫,61082.0,973.0,-1001134948258,novinach
53946,2025-03-12 19:30:21+00:00,"У передмісті Суджі та районах довкола неї у Курській області [продовжуються](https://t.me/osirskiy/1099) активні бойові дії — Сирський.

Головнокомандувач зазначив, що Сили оборони, в разі потреби, здійснюють маневр на більш вигідні рубежі для збереження життів українських воїнів",58011.0,104.0,-1001134948258,novinach
53945,2025-03-12 18:52:55+00:00,"Спецпосланець Трампа Стів Віткофф відвідає росію вже цього тижня — Білий дім. 

Крім того, сьогодні радник Трампа Волц провів телефонну розмову з російською стороною",54769.0,25.0,-1001134948258,novinach
53944,2025-03-12 16:25:06+00:00,"У Бразилії [вирубали](https://www.bbc.com/news/articles/c9vy191rgn1o) частину Амазонського лісу, аби прокласти через нього чотирисмугову дорогу для проведення кліматичного саміту — BBC",63249.0,1739.0,-1001134948258,novinach
53943,2025-03-12 15:21:29+00:00,Volkswagen [готовий](https://www.telegraph.co.uk/business/2025/03/11/volkswagen-open-to-building-military-equipment-german-army/) виробляти озброєння на своїх заводах для німецької армії — The Telegraph,62377.0,1462.0,-1001134948258,novinach
53942,2025-03-12 14:35:20+00:00,"За вибухами в Івано-Франківську [стоять](https://t.me/SBUkr/14338?single) російські спецслужби — СБУ.

Ворожа розвідка завербувала двох місцевих підлітків віком 15 і 17 років, які шукали ""легких грошей"". 

росіяни підірвали виконавців, які переносили саморобний вибуховий пристрій у районі залізничного вокзалу",55268.0,519.0,-1001134948258,novinach
