post_id,date,text,views,forwards,channel_id,channel_name
97026,2025-03-13 21:51:13+00:00,"❗️**Трамп не вводив нових санкцій проти рф: їхнє посилення пов'язане з завершенням термінів винятків, які були введені ще за Байдена, — пояснює CBS News**

Сьогодні сплив термін ліцензії, виданої в січні, яка дозволяла зарубіжним компаніям проводити розрахунки за російську нафту через підсанкційні російські банки.** Трамп не продовжив цю ліцензію.** Водночас про будь-які нові обмеження,** яких не існувало до приходу Трампа до влади, не повідомляють.**

Головне, що Трамп не продовжив ліцензію, щоб примусити рф до 30-денного припинення вогню — побачимо, чи спрацює це 👀

[Україна Online | Підписатись](https://t.me/+PrLok3ySBnljZWMy)",303971,652,-1001233777422,UaOnlii
97025,2025-03-13 21:37:21+00:00,"**❗️Завдяки діям Трампа майже всі великі російські банки, а також Центральний банк і Мосбіржа, опинилися під повним міжнародним блокуванням**

📍**Російські фінансові установи, які раніше були звільнені від санкцій,** включали Внєшекономбанк, Банк Фінансова Корпорація «Відкриття», Совкомбанк, Сбербанк, ВТБ, Альфа-Банк, Росбанк, Банк Зеніт, Банк Санкт-Петербург і Центральний банк Росії.
📍Ніхто, включно з країнами ЄС, **більше не зможе купувати російську нафту без загрози потрапити під вторинні санкції.**

Переговори путіна з Віткоффом завершилися невдало для росії? 🤔

[Україна Online | Підписатись](https://t.me/+PrLok3ySBnljZWMy)",292042,934,-1001233777422,UaOnlii
97024,2025-03-13 21:24:05+00:00,"**❗️Спецпредставника США Келлога відсторонили від мирних переговорів на вимогу кремля через «занадто проукраїнську позицію», — NBC News**

🗿🗿🗿

[Україна Online | Підписатись](https://t.me/+PrLok3ySBnljZWMy)",276603,688,-1001233777422,UaOnlii
97023,2025-03-13 21:13:59+00:00,"**❗️США відновлюють постачання Україні далекобійних бомб GLSDB, — Reuters 
**
**Ці бомби замінять ATACMS, вражаючи цілі на відстані до 161 км.** Модернізація покращила стійкість навігаційних систем, раніше ослаблених російськими перешкодами.

Поставки очікуються найближчим часом 🔥

[Україна Online | Підписатись](https://t.me/+PrLok3ySBnljZWMy)",274636,656,-1001233777422,UaOnlii
97022,2025-03-13 21:10:44+00:00,"**❗️Тиша протрималася недовго: відбулися пуски ""Шахедів"" з Курська, — монітори**

[Україна Online | Підписатись](https://t.me/+PrLok3ySBnljZWMy)",254215,241,-1001233777422,UaOnlii
97021,2025-03-13 20:59:54+00:00,"**❗️Станом на 22:59 БпЛА у повітряному просторі відсутні: триває дорозвідка, — монітори**

Невже перша ніч без шахедів за довгий час? 👀

[Україна Online | Підписатись](https://t.me/+PrLok3ySBnljZWMy)",261920,427,-1001233777422,UaOnlii
97020,2025-03-13 20:52:01+00:00,"❗️**Адміністрація Трампа накладає додаткові обмеження на російський нафтовий, газовий та банківський сектори, — CBS**

[Україна Online | Підписатись](https://t.me/+PrLok3ySBnljZWMy)",267353,561,-1001233777422,UaOnlii
97015,2025-03-13 20:19:26+00:00,"**Той, хто виїхав і за три роки не повернувся в Україну, етично втратив можливість називати себе українцем, — нардеп Олег Дунда**

Ваша думка? 👇

[Україна Online | Підписатись](https://t.me/+PrLok3ySBnljZWMy)",270234,771,-1001233777422,UaOnlii
97014,2025-03-13 20:09:27+00:00,"❗️**Україна не визнає захоплені території російськими: Київ не піде з контрольованих частин Донецької, Луганської, Херсонської та Запорізької областей, — BBC з посиланням на українського нардепа**

Дипломат анонімно розповів про те, що обговорювалося на переговорах із США у Джидді у вівторок,** але не було включено до спільної заяви двох країн**:

📍У заяві Рубіо йшлося про те, **що рф наразі утримує ці території лише в разі припинення вогню, але це не означає їх передачу рф.** Питання стосувалося термінології, і Україна продовжує не визнавати ці території російськими.
📍На переговорах не обговорювалося відведення українських військ та передача територій, **які рф включила до своєї Конституції.**
📍Допомога США відновилася ч**ерез годину після угоди України на 30-денне припинення вогню.**
📍Присутність українських військ у Курській області обговорювалася, **але вимог щодо їх виведення для перемир’я не було.**
📍Перемир’я передбачатиме припинення атак дронами. Порушення умов поки не обговорювалися. **Україна готова надати технічні команди для моніторингу**.
📍США мають бачення того, як організувати контроль за дотриманням режиму припинення вогню.

[Україна Online | Підписатись](https://t.me/+PrLok3ySBnljZWMy)",264076,240,-1001233777422,UaOnlii
97012,2025-03-13 19:41:02+00:00,"**❗️США обговорюють із рф можливість майбутньої співпраці з «Газпромом» у міжнародних проектах, — Bloomberg**

Прям [«без вагань»](https://t.me/UaOnlii/96976) тиснуть на рф.

[Україна Online | Підписатись](https://t.me/+PrLok3ySBnljZWMy)",246821,271,-1001233777422,UaOnlii
97011,2025-03-13 19:33:09+00:00,"**Крим росіянам віддав Обама. Байден віддав усе, Буш — Грузію, а я — нічого, — Трамп**

""Я дав їм, знаєте, Джавеліни, які виявилися дуже ефективними. І ще, якщо глянути, я зупинив газопровід до Європи"".

Миротворець який 🤡

[Україна Online | Підписатись](https://t.me/+PrLok3ySBnljZWMy)",261050,508,-1001233777422,UaOnlii
97010,2025-03-13 19:21:28+00:00,"**❗️США заборонили закордонним компаніям проводити розрахунки за енергоресурси рф через підсанкційні банки, щоб натиснути на росію, — Fox News **

Це означає, що покупці нафти, газу чи інших енергоресурсів з рф тепер матимуть менше способів для оплати, **що ускладнить для Кремля отримання валютних доходів.**

Такі дії спрямовані на посилення економічного тиску та обмеження фінансування війни.

[Україна Online | Підписатись](https://t.me/+PrLok3ySBnljZWMy)",250665,449,-1001233777422,UaOnlii
97009,2025-03-13 19:09:49+00:00,"**❗️Путін вже фактично готує відмову на ідею припинення вогню, але боїться сказати про це Трампу, — Зеленський**

📍Зараз ми всі почули з Росії дуже передбачувані, дуже маніпулятивні слова Путіна у відповідь на ідею тиші на фронті –** він фактично готує відмову станом на зараз. **
📍**Путін, звісно, боїться сказати прямо Президенту Трампу, що хоче продовжувати цю війну, хоче вбивати українців. **
📍І тому вони там, у Москві, обставляють ідею тиші такими передумовами,** щоб взагалі нічого не вийшло або щоб не виходило якнайдовше. **
📍Путін часто так робить – не каже «ні» напряму, але робить так, що практично тільки все затягує та унеможливлює нормальні рішення. **Ми вважаємо, що це все зараз – чергові російські маніпуляції. **
📍**Ми не ставимо умов, які щось ускладнюють. Це Росія робить.** Як ми завжди й говорили, єдиний, хто буде все затягувати, єдиний, хто буде неконструктивний —  це Росія. 

[Україна Online | Підписатись](https://t.me/+PrLok3ySBnljZWMy)",246711,463,-1001233777422,UaOnlii
97008,2025-03-13 18:50:54+00:00,"❗️**В Харкові зафіксовано вже 5 вибухів: місто під атакою БпЛА, — місцеві канали**

Мер наразі підтвердив лише три вибухи. **""Шахеди"" летять вкрай низько**, маневруючи між будинками. За попередніми даними,** є влучання уламків безпілотника у житловий будинок**.

Ось так виглядає ""припинення вогню"" по-путінськи? 🤬

[Україна Online | Підписатись](https://t.me/+PrLok3ySBnljZWMy)",239554,298,-1001233777422,UaOnlii
97007,2025-03-13 18:45:04+00:00,"**Україна, схоже, виходить з Курської області рф під тиском США, — Le Monde**

📍**Українські війська залишають прикордонний регіон майже без бою. **Відсутність фото полонених чи значних захоплень озброєння вказує на те, що бойові дії не відзначалися високою інтенсивністю. 
📍Хоча протягом трьох років масштабної війни** українські війська зазвичай чинили рішучий опір,** займаючи оборонні позиції, **на Курщині цього не спостерігалося в останні тижні.**
📍Засновник Conflict Intelligence Team Руслан Левієв зауважує, що **""населені пункти, які поступово переходили під контроль російських військ, бралися практично без бою, зокрема, Суджа**"".
📍Не останню роль у тому, що ЗСУ залишають Курщину, зіграло **рішення Трампа призупинити військову і розвідувальну допомогу Україні. **
📍Заява путіна про необхідність ""**створити в майбутньому зону безпеки вздовж державного кордону**"", тобто, на українській території,** **є негативною відповіддю на бажання Трампа** домогтися негайного припинення вогню між Києвом і Москвою.**

З огляду на останні події виникає питання: чи було виведення українських військ із Курської області **однією з умов для початку переговорів про припинення вогню з Росією**? 🤔

[Україна Online | Підписатись](https://t.me/+PrLok3ySBnljZWMy)",236218,629,-1001233777422,UaOnlii
97006,2025-03-13 18:30:08+00:00,,249403,47,-1001233777422,UaOnlii
97005,2025-03-13 18:30:08+00:00,,253312,47,-1001233777422,UaOnlii
97004,2025-03-13 18:30:08+00:00,"🔒 **Кіберстійкість України: Як бізнес, держава та експерти об’єднуються для протидії загрозам
**
На [Київському Міжнародному Форумі з Кібербезпеки](https://cyberforumkyiv.org/) (KICRF) обговорили головні виклики цифрової безпеки України. Особлива увага цьогорічної дискусії — агресивні хакерські атаки з боку Росії та стратегії протидії їм. 

У межах форуму було підписано Меморандум про співпрацю між **Європейським центром компетенцій у кібербезпеці (ECCC) та Національним координаційним центром кібербезпеки (НКЦК) при РНБО України**, що посилить інтеграцію українських компаній у європейську кіберспільноту.

Також в ході KICRF відбулися змагання з кібербезпеки для держслужбовців і приватного сектора, а «етичні хакери» могли за винагороду спробувати знайти вразливості в одній з державних ІТ-систем.

Партнером події стала українська ІТ-компанія **FAVBET Tech**, яка з 2022 року активно підтримує українську цифрову оборону та готує спеціалістів з кібербезпеки разом із ГО «Кіберполк».

[Україна Online | Підписатись](https://t.me/+PrLok3ySBnljZWMy)",227241,48,-1001233777422,UaOnlii
97003,2025-03-13 17:54:59+00:00,"**❗️Україна представила США свої «червоні лінії» для мирних переговорів, — джерела ЄП
**
📍без обмежень чисельності армії;  
📍без заборон на участь України в ЄС та НАТО;  
📍рф не повинна мати права вето на участь України в міжнародних організаціях.

[Україна Online | Підписатись](https://t.me/+PrLok3ySBnljZWMy)",243173,622,-1001233777422,UaOnlii
97002,2025-03-13 17:43:29+00:00,"**Ми не підемо на заморожений конфлікт, наші партнери з США також проти такого сценарію, — Єрмак**

""Ми проти «Мінська-3», а Європа буде долучена до мирного процесу"".

[Україна Online | Підписатись](https://t.me/+PrLok3ySBnljZWMy)",246899,374,-1001233777422,UaOnlii
97001,2025-03-13 17:17:30+00:00,"**❗️Я не думаю, що рф нападе на союзників США, — Трамп**

[Україна Online | Підписатись](https://t.me/+PrLok3ySBnljZWMy)",246573,185,-1001233777422,UaOnlii
